clade_name	clade_taxid	PD_1P_profile	PD_2P_profile	PD_3P_profile	PD_4P_profile	PD_5P_profile	PD_6P_profile	PD_7P_profile	PD_8P_profile	PD_9P_profile	PD_10P_profile	PD_11P_profile	PD_12P_profile	PD_13P_profile	PD_14P_profile	PD_15P_profile	PD_16P_profile	PD_25P_profile	PD_26P_profile	PD_27P_profile	PD_28P_profile	PD_29P_profile	PD_30P_profile	PD_31P_profile	PD_32P_profile	PD_33P_profile	PD_34P_profile	PD_35P_profile	PD_36P_profile	PD_38P_profile	PD_39P_profile	PD_40P_profile	PD_41P_profile	PD_42P_profile	PD_43P_profile	PD_44P_profile	PD_45P_profile	PD_46P_profile	PD_47P_profile	PD_48P_profile	PD_50P_profile	PD_51P_profile	PD_52P_profile	PD_53P_profile	PD_54P_profile	PD_55P_profile	PD_56P_profile	PD_57P_profile	PD_58P_profile	PD_59P_profile	PD_60P_profile	PD_63P_profile	PD_64P_profile	PD_65P_profile	PD_66P_profile	PD_70P_profile	PD_73P_profile	PD_74P_profile	PD_75P_profile	PD_76P_profile	PD_77P_profile	PD_78P_profile	PD_79S_profile	PD_81P_profile	PD_82P_profile	PD_83P_profile	PD_84P_profile	PD_100P_profile	PD_104P_profile	PD_105P_profile	PD_107P_profile	PD_108S_profile	PD_109S_profile	PD_110S_profile	PD_111P_profile	PD_112S_profile	PD_113P_profile	PD_114P_profile	PD_115S_profile	PD_116P_profile	PD_117_profile	PD_118_profile	PD_119P_profile	PD_120S_profile	PD_121S_profile	PD_122S_profile	PD_123P_profile	PD_126P_profile	PD_127S_profile	PD_128S_profile	PD_129P_profile	PD_130S_profile	PD_131P_profile	PD_134S_profile	PD_137P_profile	PD_138S_profile	PD_140S_profile	PD_141P_profile	PD_142S_profile	PD_145P_profile	PD_146S_profile	PD_147_profile	PD_148P_profile	PD_149S_profile	PD_150P_profile	PD_151S_profile	PD_152P_profile	PD_153S_profile	PD_156P_profile	PD_157S_profile	PD_158P_profile	PD_159S_profile	PD_160P_profile	PD_161S_profile	PD_162P_profile	PD_163S_profile	PD_164P_profile	PD_165S_profile	PD_166_profile	PD_167P_profile	PD_169P_profile	PD_170S_profile	PD_171P_profile	PD_172S_profile	PD_173P_profile	PD_174S_profile	PD_175P_profile	PD_176S_profile	PD_177P_profile	PD_178S_profile	PD_179P_profile	PD_180S_profile	PD_181P_profile	PD_182S_profile	PD_183P_profile	PD_184S_profile	PD_188S_profile	PD_189P_profile	PD_190S_profile	PD_191P_profile	PD_192S_profile	PD_193P_profile	PD_194S_profile	PD_195_profile	PD_196_profile	PD_197_profile	PD_198_profile	PD_199P_profile	PD_200S_profile	PD_203_profile	PD_204_profile	PD_205P_profile	PD_206S_profile	PD_207P_profile	PD_208S_profile	PD_209P_profile	PD_210S_profile	PD_211P_profile	PD_212S_profile	PD_213S_profile	PD_214S_profile	PD_215S_profile	PD_216S_profile	PD_217P_profile	PD_218S_profile	PD_221P_profile	PD_222S_profile	PD_223P_profile	PD_224S_profile	PD_225P_profile	PD_226S_profile	PD_227P_profile	PD_228S_profile	PD_229P_profile	PD_230S_profile	PD_231P_profile	PD_232S_profile
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccaceae_unclassified	2157|2283796|183967|1235850|1577788|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccaceae_unclassified|s__Methanomassiliicoccaceae_archaeon_DOK	2157|2283796|183967|1235850|1577788||1535962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccaceae_unclassified|s__Methanomassiliicoccaceae_archaeon_DOK|t__SGB381	2157|2283796|183967|1235850|1577788||1535962|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	2	2861265	2253429	2981269	2718827	2659160	2051287	2629845	2854253	2999124	2101422	3084719	2543407	3053502	2680729	2680634	3092161	3104655	0	3466553	360955	2483052	2057105	2914318	3219407	3434333	3524510	2929242	0	2729932	1893268	2013448	2300110	2995417	1991716	2673042	3416030	2793544	2482387	2376215	211648	2694670	2160128	2330400	2962340	2767364	4974127	3297350	2568872	2091512	3044742	2280990	3281196	2721747	2068821	2077121	1093348	2614872	2404322	1871205	2956161	1985804	2766797	0	2506920	30323	2716195	2204936	3828011	2540495	0	4078613	3576125	3151296	3197642	6263	3729808	2561320	2886912	4528219	3366508	2930273	3127600	2531999	4102048	3606102	3800345	3903393	4056975	3829803	2468191	3036736	2916884	4626243	3711206	2726480	4886042	4267688	3000620	4428151	3076268	3585057	3972197	2695985	3154572	3010878	2836111	4471221	2808705	3741292	3948200	4187414	4216818	42863	3433290	3843893	2577480	4267561	3208104	3209392	4031475	3328394	4276344	2823296	3564406	3121893	2759353	3634491	3116266	4488136	3625407	3117107	3545473	51161	4797607	5353902	3037945	3292933	3453955	31832	0	3717031	2962199	4014120	4545003	4013716	2967123	0	3725759	3415646	3237275	2194525	3817351	3803407	3014032	3879910	3312478	22601	5412	4285726	3533098	4452717	13131	37697	0	3438414	3398683	4586941	4818814	4256715	3242475	3239042	3831762	3536554	3422679	4101534	3180172
k__Bacteria|p__Actinomycetota	2|201174	229258	79003	43883	39812	79840	24770	97244	132155	363076	57495	214187	67127	336536	137105	84529	126655	51212	0	95170	8082	292400	25511	627332	169226	174563	120191	162701	0	76578	149496	77930	116763	585315	60813	309715	174623	350566	207439	53339	7663	118753	64066	42226	175590	289411	321396	107461	90989	49889	145268	149079	105376	115604	111221	90558	17182	367567	80350	201523	115875	77973	75667	0	77465	0	65658	361906	75810	1076826	0	207184	12574	22120	48121	0	795395	15682	63333	93861	110933	54664	112271	210347	89261	120523	139321	160231	104525	73629	899897	33454	18872	64686	63690	26663	393481	209873	55937	167990	28323	48235	85947	180907	40744	71237	33454	29869	113184	144865	94262	147242	585082	0	41608	38393	234402	46880	80860	84080	146399	51012	34317	96625	73490	33295	86001	100883	70812	95891	85932	56725	185980	0	112662	48415	66037	161058	109929	0	0	261565	322107	195441	46374	291618	35068	0	91805	201105	55999	45018	38270	703442	86227	146423	50198	0	0	31455	38259	53490	0	0	0	90105	64146	97808	190579	97016	47683	135772	63660	353598	250971	262157	86265
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	150256	26875	15433	0	43430	12674	36866	6416	293031	15420	123083	25021	29700	48294	39017	9478	26254	0	37966	0	216869	0	586346	72173	37482	18318	30238	0	0	89612	41458	61773	313711	16210	209453	59887	267616	101881	24622	0	98112	20520	5561	94140	254272	214961	68602	45157	0	65267	45671	34155	15737	23544	25128	0	285092	19562	177998	17892	0	12578	0	36897	0	27370	236047	46195	1004708	0	43361	0	13441	14927	0	736115	0	0	4636	21800	9537	35092	131159	0	60253	24418	16374	19105	17258	872833	11439	18872	33258	18185	9000	270365	0	31301	86312	0	4755	0	3661	18034	7907	0	0	52631	72939	4136	58485	532106	0	0	6444	166546	13806	23272	58483	63503	9515	9365	62881	21378	0	34628	20924	40558	62040	57181	0	78499	0	61987	21790	8796	30467	39471	0	0	253860	230068	124442	5027	155419	10034	0	10883	96977	31698	16851	9109	357986	28133	59139	22283	0	0	4382	5810	17436	0	0	0	50361	0	0	149702	51214	22813	88897	15164	273455	110062	115273	18824
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales	2|201174|1760|2037	0	0	0	0	5342	0	9928	6416	0	0	10123	11567	0	4271	0	0	0	0	0	0	4641	0	0	4576	0	0	0	0	0	0	3606	0	4963	3529	0	0	0	10334	4424	0	0	0	0	0	0	0	0	8785	0	0	5267	0	15737	0	4774	0	0	0	0	0	0	4955	0	0	0	0	0	0	0	0	24598	0	0	8894	0	8440	0	0	0	4406	0	0	0	0	3391	8065	5800	4942	0	0	3907	0	5090	4460	0	5082	0	0	0	0	0	0	3661	5370	0	0	0	0	4255	0	8053	0	0	0	0	0	0	0	0	9348	0	0	0	0	0	0	0	0	0	4248	0	0	0	0	0	8796	4386	0	0	0	0	5419	0	5027	3829	0	0	0	10090	4467	4581	0	48191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4314	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0	0	0	0	5342	0	9928	6416	0	0	10123	11567	0	4271	0	0	0	0	0	0	4641	0	0	4576	0	0	0	0	0	0	3606	0	4963	3529	0	0	0	10334	4424	0	0	0	0	0	0	0	0	8785	0	0	5267	0	15737	0	4774	0	0	0	0	0	0	4955	0	0	0	0	0	0	0	0	24598	0	0	8894	0	8440	0	0	0	4406	0	0	0	0	3391	8065	5800	4942	0	0	3907	0	5090	4460	0	5082	0	0	0	0	0	0	3661	5370	0	0	0	0	4255	0	8053	0	0	0	0	0	0	0	0	9348	0	0	0	0	0	0	0	0	0	4248	0	0	0	0	0	8796	4386	0	0	0	0	5419	0	5027	3829	0	0	0	10090	4467	4581	0	48191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4314	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	2|201174|1760|2037|2049|1654	0	0	0	0	5342	0	9928	6416	0	0	4591	11567	0	0	0	0	0	0	0	0	4641	0	0	0	0	0	0	0	0	0	0	0	4963	0	0	0	0	10334	0	0	0	0	0	0	0	0	0	3852	0	0	5267	0	9969	0	4774	0	0	0	0	0	0	4955	0	0	0	0	0	0	0	0	19210	0	0	4330	0	4124	0	0	0	4406	0	0	0	0	3391	8065	0	0	0	0	0	0	5090	0	0	0	0	0	0	0	0	0	3661	0	0	0	0	0	0	0	8053	0	0	0	0	0	0	0	0	3906	0	0	0	0	0	0	0	0	0	4248	0	0	0	0	0	8796	4386	0	0	0	0	0	0	5027	3829	0	0	0	4788	4467	4581	0	22505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4314	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_bouchesdurhonensis	2|201174|1760|2037|2049|1654|1852361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3852	0	0	0	0	0	0	0	0	0	0	0	0	0	4955	0	0	0	0	0	0	0	0	0	0	0	4330	0	4124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3518	0	0	0	0	0	0	0	0	3906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4224	0	0	0	0	0	0	0	0	3829	0	0	0	0	0	4581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_bouchesdurhonensis|t__SGB17152	2|201174|1760|2037|2049|1654|1852361|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3852	0	0	0	0	0	0	0	0	0	0	0	0	0	4955	0	0	0	0	0	0	0	0	0	0	0	4330	0	4124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3518	0	0	0	0	0	0	0	0	3906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4224	0	0	0	0	0	0	0	0	3829	0	0	0	0	0	4581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_dentalis	2|201174|1760|2037|2049|1654|272548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_dentalis|t__SGB15877	2|201174|1760|2037|2049|1654|272548|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	2|201174|1760|2037|2049|1654|55565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3543	0	0	0	0	0	0	0	0	0	0	0	0	0	3391	3439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii|t__SGB17130_group	2|201174|1760|2037|2049|1654|55565|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3543	0	0	0	0	0	0	0	0	0	0	0	0	0	3391	3439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	2|201174|1760|2037|2049|1654|544580	0	0	0	0	0	0	5635	0	0	0	0	5691	0	0	0	0	0	0	0	0	4641	0	0	0	0	0	0	0	0	0	0	0	4963	0	0	0	0	5657	0	0	0	0	0	0	0	0	0	0	0	0	5267	0	5413	0	4774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris|t__SGB15878	2|201174|1760|2037|2049|1654|544580|	0	0	0	0	0	0	0	0	0	0	0	5691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5267	0	5413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris|t__SGB15881	2|201174|1760|2037|2049|1654|544580|	0	0	0	0	0	0	5635	0	0	0	0	0	0	0	0	0	0	0	0	0	4641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02	2|201174|1760|2037|2049|1654|1739406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02|t__SGB17158_group	2|201174|1760|2037|2049|1654|1739406|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47	2|201174|1760|2037|2049|1654|936548	0	0	0	0	5342	0	4293	0	0	0	4591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4406	0	0	0	0	0	4626	0	0	0	0	0	0	5090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4248	0	0	0	0	0	4572	4386	0	0	0	0	0	0	5027	0	0	0	0	4788	0	0	0	4957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4314	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47|t__SGB17167	2|201174|1760|2037|2049|1654|936548|	0	0	0	0	5342	0	4293	0	0	0	4591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4406	0	0	0	0	0	4626	0	0	0	0	0	0	5090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4248	0	0	0	0	0	4572	4386	0	0	0	0	0	0	5027	0	0	0	0	4788	0	0	0	4957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4314	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448	2|201174|1760|2037|2049|1654|712124	0	0	0	0	0	0	0	6416	0	0	0	5876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448|t__SGB15872	2|201174|1760|2037|2049|1654|712124|	0	0	0	0	0	0	0	6416	0	0	0	5876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Peptidiphaga	2|201174|1760|2037|2049|2739835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Peptidiphaga|s__Peptidiphaga_gingivicola	2|201174|1760|2037|2049|2739835|2741497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
